id_word	id_meaning	id	lemma	morphology	definition	definition_divided	glottocode	reference	language	pos	detected_by	meaning_ru	examples
15	2	16	аваданлъи	IV (-лло, -лос)	IV (-лло, -лос) 1) веселость, веселье; жизнерадостность 2) дружественное взаимоотношение, хорошее взаимоотношение; аваданлъи рува веселиться; развеселить, устроить веселье; аваданлъилкьо беча жить в дружно (в согласии); аваданлъилǡ ло находиться в веселом расположении духа; аваданлъи ругьла расстроить, испортить настроение; прервать хорошие взаимоотношения (веселье)	дружественное взаимоотношение, хорошее взаимоотношение; аваданлъи рува веселиться; развеселить, устроить веселье; аваданлъилкьо беча жить в дружно (в согласии); аваданлъилǡ ло находиться в веселом расположении духа; аваданлъи ругьла расстроить, испортить настроение; прервать хорошие взаимоотношения (веселье)	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	дружба	
16	1	17	авал	III (-лил, -лис, -ла)	III (-лил, -лис, -ла) 1) территория; илдо аваллӣ лъарагIлъи гȧчI на нашей территории нет равнины 2) квартал, участок; илдо аваллис къǝра дети нашего квартала	территория; илдо аваллӣ лъарагIлъи гȧчI на нашей территории нет равнины	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	территория	
16	2	18	авал	III (-лил, -лис, -ла)	III (-лил, -лис, -ла) 1) территория; илдо аваллӣ лъарагIлъи гȧчI на нашей территории нет равнины 2) квартал, участок; илдо аваллис къǝра дети нашего квартала	квартал, участок; илдо аваллис къǝра дети нашего квартала	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	квартал	
17	1	19	аванс	IV (-лил, -лис, -ла)	IV (-лил, -лис, -ла) аванс (выдаваемые вперёд в счёт заработка); аванслис окро авансовые деньги; аванс нылIа выдать аванс; аванс рохча взять (получить) аванс	аванс (выдаваемые вперёд в счёт заработка); аванслис окро авансовые деньги; аванс нылIа выдать аванс; аванс рохча взять (получить) аванс	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	аванс	
18	1	20	авар		аварский; авар мыц аварский язык; авар театер аварский театр; авар миллат (//халкъ) аварцы; см. бархъал, магIарул, эᵸхIла	аварский; авар мыц аварский язык; авар театер аварский театр; авар миллат (//халкъ) аварцы; см. бархъал, магIарул, эᵸхIла	hunz1247	Khalilov 2026	Hunzib	adj	spacy_model	аварский	
19	1	21	авáра	III (лло, -лис, -ло)	III (лло, -лис, -ло) 1) помеха, препона, препятствие; преграда; авара гȧчI нет препятствий (помех, преград); авара бува мешать, создавать (чинить) препятствие кому-л.; утруждать, беспокоить кого-л.; создавать кому-л. хлопоты 2) безразличие, равнодушие; авара гȧйсу сукIу равнодушный (безразличный) человек	помеха, препона, препятствие; преграда; авара гȧчI нет препятствий (помех, преград); авара бува мешать, создавать (чинить) препятствие кому-л.; утруждать, беспокоить кого-л.; создавать кому-л. хлопоты	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	помеха	
19	2	22	авáра	III (лло, -лис, -ло)	III (лло, -лис, -ло) 1) помеха, препона, препятствие; преграда; авара гȧчI нет препятствий (помех, преград); авара бува мешать, создавать (чинить) препятствие кому-л.; утруждать, беспокоить кого-л.; создавать кому-л. хлопоты 2) безразличие, равнодушие; авара гȧйсу сукIу равнодушный (безразличный) человек	безразличие, равнодушие; авара гȧйсу сукIу равнодушный (безразличный) человек	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	безразличие	
20	1	23	авараг	I (-лил, -лис, -ла)	I (-лил, -лис, -ла) рел. Пророк; помазанник божий; патриарх; Адам авараг патриарх Адам; ГIиса авараг помазанник божий Иисус; МухIамад авараг пророк Мухаммед; авараглис хIадисла хадисы пророка; авараглис сунатла сунны пророка Мухаммеда; авараглис гIакъиллъи пророческая мудрость; Авараглис гьуни роха придерживаться пути Пророка (букв. Пророка дорогу держать) ♦ Авараглӣ гIулу ради Пророка	рел. Пророк; помазанник божий; патриарх; Адам авараг патриарх Адам; ГIиса авараг помазанник божий Иисус; МухIамад авараг пророк Мухаммед; авараглис хIадисла хадисы пророка; авараглис сунатла сунны пророка Мухаммеда; авараглис гIакъиллъи пророческая мудрость; Авараглис гьуни роха придерживаться пути Пророка (букв. Пророка дорогу держать) ♦ Авараглӣ гIулу ради Пророка	hunz1247	Khalilov 2026	Hunzib	noun; expression	spacy_model	пророк	
21	1	24	авараглъи	IV (-лло, -лос)	IV (-лло, -лос) рел. 1) пророчество 2) наделённые Богом обязанности пророка; авараглъи рува выполнить основные обязанности пророка	пророчество	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	пророчество	
21	2	25	авараглъи	IV (-лло, -лос)	IV (-лло, -лос) рел. 1) пророчество 2) наделённые Богом обязанности пророка; авараглъи рува выполнить основные обязанности пророка	наделённые Богом обязанности пророка; авараглъи рува выполнить основные обязанности пророка	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	обязанности пророка	
22	1	26	аварийа	III (-лло, -лис, -ло)	III (-лло, -лис, -ло) случай; авария; быкъкъу аварийа большая аварийа; аварийалкьо гьиᵸчIа бояться аварии; аварийа бува совершить аварию; аварийа бȧхъа произойти (об аварии)	случай; авария; быкъкъу аварийа большая аварийа; аварийалкьо гьиᵸчIа бояться аварии; аварийа бува совершить аварию; аварийа бȧхъа произойти (об аварии)	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	авария	
23	1	27	август	III (-лил, -лис, -ла)	III (-лил, -лис, -ла) август; август боцо август месяц; къанус август второе августа; августлис савишанийа августовское совещание	август; август боцо август месяц; къанус август второе августа; августлис савишанийа августовское совещание	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	август	
24	1	28	авлахъ	III (-лил, -лис, -ла)	III (-лил, -лис, -ла) 1) ровное место, равнина; степь; открытая местность; кебус авлахъ песчаная степь; авлахълис мȧче степь 2) глушь; неосвоенная земля, целина, залежь 2) авлахълӣ гIумру бува жить на равнине (в степи) 3) пастбище; боцIи авлахълӣ мийа пустить овец на пастбище	ровное место, равнина; степь; открытая местность; кебус авлахъ песчаная степь; авлахълис мȧче степь	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	степь	
24	2	29	авлахъ	III (-лил, -лис, -ла)	III (-лил, -лис, -ла) 1) ровное место, равнина; степь; открытая местность; кебус авлахъ песчаная степь; авлахълис мȧче степь 2) глушь; неосвоенная земля, целина, залежь 2) авлахълӣ гIумру бува жить на равнине (в степи) 3) пастбище; боцIи авлахълӣ мийа пустить овец на пастбище	глушь; неосвоенная земля, целина, залежь	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	целина	
24	3	30	авлахъ	III (-лил, -лис, -ла)	III (-лил, -лис, -ла) 1) ровное место, равнина; степь; открытая местность; кебус авлахъ песчаная степь; авлахълис мȧче степь 2) глушь; неосвоенная земля, целина, залежь 2) авлахълӣ гIумру бува жить на равнине (в степи) 3) пастбище; боцIи авлахълӣ мийа пустить овец на пастбище	авлахълӣ гIумру бува жить на равнине (в степи)	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	жить на равнине	
24	4	31	авлахъ	III (-лил, -лис, -ла)	III (-лил, -лис, -ла) 1) ровное место, равнина; степь; открытая местность; кебус авлахъ песчаная степь; авлахълис мȧче степь 2) глушь; неосвоенная земля, целина, залежь 2) авлахълӣ гIумру бува жить на равнине (в степи) 3) пастбище; боцIи авлахълӣ мийа пустить овец на пастбище	пастбище; боцIи авлахълӣ мийа пустить овец на пастбище	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	пастбище	
25	1	32	авлийал	мн. (-лло, -лис)	мн. (-лло, -лис) рел. праведники, святые	рел. праведники, святые	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	праведник	
26	1	33	автамабил	III (-лил, -лис, -ла)	III (-лил, -лис, -ла) автомобиль, машина (легковая); лехкIавой автамабил легковой автомобиль; автамабиллис гьуни автомобильная дорога; автамабил бежа водить автомобиль	автомобиль, машина (легковая); лехкIавой автамабил легковой автомобиль; автамабиллис гьуни автомобильная дорога; автамабил бежа водить автомобиль	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	автомобиль	
27	1	34	автамат	V (-лил, -лис, -ла)	V (-лил, -лис, -ла) в разн. знач. 1) воен. автомат (оружие); автаматлис патIронла автоматные патроны; автамат тIутIа стрелять из автомата 2) телефон-автомат 3) перен. болтун, говорун	воен. автомат (оружие); автаматлис патIронла автоматные патроны; автамат тIутIа стрелять из автомата	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	автомат	
27	2	35	автамат	V (-лил, -лис, -ла)	V (-лил, -лис, -ла) в разн. знач. 1) воен. автомат (оружие); автаматлис патIронла автоматные патроны; автамат тIутIа стрелять из автомата 2) телефон-автомат 3) перен. болтун, говорун	телефон-автомат	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	телефон-автомат	
27	3	36	автамат	V (-лил, -лис, -ла)	V (-лил, -лис, -ла) в разн. знач. 1) воен. автомат (оружие); автаматлис патIронла автоматные патроны; автамат тIутIа стрелять из автомата 2) телефон-автомат 3) перен. болтун, говорун	перен. болтун, говорун	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	болтун	
28	1	37	автобиограпийа	III (-лло, -лис, -р)	III (-лло, -лис, -р) автобиография; дие автобиограпийа моя автобиография; автобиография на себя; автобиограпийа чаᵸха написать автобиографию	автобиография; дие автобиограпийа моя автобиография; автобиография на себя; автобиограпийа чаᵸха написать автобиографию	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	автобиография	
29	1	38	автобус	III (-лил, -лис, -ла)	III (-лил, -лис, -ла) автобус; быкъкъу автобус большой автобус; автобуслис истанцийа автобусная станция; автобуслис шопер водитель автобуса; автобуслис гьȧбур колесо автобуса; автобусликь кьокъа сесть на автобус; автобусликь алIā эᵸкьа поехать на автобусе в село; автобусликь хIалтIизи ȧхъа работать водителем автобуса	автобус; быкъкъу автобус большой автобус; автобуслис истанцийа автобусная станция; автобуслис шопер водитель автобуса; автобуслис гьȧбур колесо автобуса; автобусликь кьокъа сесть на автобус; автобусликь алIā эᵸкьа поехать на автобусе в село; автобусликь хIалтIизи ȧхъа работать водителем автобуса	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	автобус	
30	1	39	авторучка	III (-лло, -лис, -ла)	III (-лло, -лис, -ла) авторучка; авторучкалис перо перо авторучки; чаᵸкъилос автаручкIа авторучка (чернильная); авторучкалдо чаᵸха писать авторучкой	авторучка; авторучкалис перо перо авторучки; чаᵸкъилос автаручкIа авторучка (чернильная); авторучкалдо чаᵸха писать авторучкой	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	ручка	
31	1	40	агамыху	IV (-лло, -лис, -ва)	IV (-лло, -лис, -ва) чашечка (деревянная для кормления кошки); агамыхулӣ гьиᵸ гичIкIа в чашечку налить молоко	чашечка (деревянная для кормления кошки); агамыхулӣ гьиᵸ гичIкIа в чашечку налить молоко	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	чашечка	
32	1	41	агарод	III (-лил, -лис, -ла)	III (-лил, -лис, -ла) огород; см. ахI	огород; см. ахI	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	огород	
33	1	42	агитáцийа	IУ (-лло, -лис, -р)	IУ (-лло, -лис, -р) агитация; агитацийа рува вести агитацию, агитировать	агитация; агитацийа рува вести агитацию, агитировать	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	агитация	
34	1	43	агулав	I (-л, -с, мн. агулавла)	I (-л, -с, мн. агулавла) агулец	агулец	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	агулец	
35	1	44	агулай	II (-л, -с, мн. агулайла)	II (-л, -с, мн. агулайла) агулка	агулка	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	агулка	
36	1	45	агулла	мн. (-л, -с)	мн. (-л, -с) агульцы (один из коренных народов Республики Дагестана; их язык входит в лезгинскую языковую группу); агуллалас мыц агульский язык	агульцы (один из коренных народов Республики Дагестана; их язык входит в лезгинскую языковую группу); агуллалас мыц агульский язык	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	агульцы	
37	1	46	аграном	I, II (-лил, -лис, -ла)	I, II (-лил, -лис, -ла) агроном	агроном	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	агроном	
38	1	47	аграномлъи	IV (-лло, -лос)	IV (-лло, -лос) профессия (работа, специальность, должность) агронома; аграномлъи рува работать агрономом; выполнять функции (обязанности) агронома; аграномлъилос хъōда учиться на агронома	профессия (работа, специальность, должность) агронома; аграномлъи рува работать агрономом; выполнять функции (обязанности) агронома; аграномлъилос хъōда учиться на агронома	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	агроном	
39	1	48	агури	IV (-йол, -йос, -йа)	IV (-йол, -йос, -йа) 1) кирпич; риэру агури маленький кирпич; гьалду агури белый кирпич; цIунду агури терракоторый (букв. красный) кирпич; агури рува производить (делать) кирпич; агурийос хъохъо рува построить дом из кирпича; см. бокIи, кирпич	кирпич; риэру агури маленький кирпич; гьалду агури белый кирпич; цIунду агури терракоторый (букв. красный) кирпич; агури рува производить (делать) кирпич; агурийос хъохъо рува построить дом из кирпича; см. бокIи, кирпич	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	кирпич	
40	1	49	агурилъеру		кирпичный, подобно кирпичу; агурилъеру кьер кирпичный цвет; см. агурийос	кирпичный, подобно кирпичу; агурилъеру кьер кирпичный цвет; см. агурийос	hunz1247	Khalilov 2026	Hunzib	adj	spacy_model	кирпичный	
41	1	50	агурийос		1. ген. от агури 2. терракотовый; агурийос кьер кирпичный (терракотовый) цвет; см. агурилъеру	ген. от агури	hunz1247	Khalilov 2026	Hunzib	adv	spacy_model	кирпича	
41	2	51	агурийос		1. ген. от агури 2. терракотовый; агурийос кьер кирпичный (терракотовый) цвет; см. агурилъеру	терракотовый; агурийос кьер кирпичный (терракотовый) цвет; см. агурилъеру	hunz1247	Khalilov 2026	Hunzib	adj	spacy_model	терракотовый	
42	1	52	агъáз	III (-лил, -лис, -ла)	III (-лил, -лис, -ла) 1) внимание 2) забота, хлопоты; быкъкъу агъаз а) большое внимание б) большие хлопоты; агъаз лодеру а) внимательный б) заботливый; агъаз гȧйсу сукIу а) невнимательный человек; б) беззаботный (безалаберный) человек; агъаз бува а) проявить внимание, оказать внимание б) заботиться, проявить (оказать) заботу; къǝрас агъаз бува позаботиться о детях	внимание	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	внимание	
42	2	53	агъáз	III (-лил, -лис, -ла)	III (-лил, -лис, -ла) 1) внимание 2) забота, хлопоты; быкъкъу агъаз а) большое внимание б) большие хлопоты; агъаз лодеру а) внимательный б) заботливый; агъаз гȧйсу сукIу а) невнимательный человек; б) беззаботный (безалаберный) человек; агъаз бува а) проявить внимание, оказать внимание б) заботиться, проявить (оказать) заботу; къǝрас агъаз бува позаботиться о детях	забота, хлопоты; быкъкъу агъаз а) большое внимание б) большие хлопоты; агъаз лодеру а) внимательный б) заботливый; агъаз гȧйсу сукIу а) невнимательный человек; б) беззаботный (безалаберный) человек; агъаз бува а) проявить внимание, оказать внимание б) заботиться, проявить (оказать) заботу; къǝрас агъаз бува позаботиться о детях	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	забота	
43	1	54	агьелдагу	I (-л, -с, -ва)	I (-л, -с, -ва) 1) дровосек 2) рубщик	дровосек	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	дровосек	
43	2	55	агьелдагу	I (-л, -с, -ва)	I (-л, -с, -ва) 1) дровосек 2) рубщик	рубщик	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	рубщик	
44	1	56	агь1		межд. ай, ах, о, увы (приступ боли)	межд. ай, ах, о, увы (приступ боли)	hunz1247	Khalilov 2026	Hunzib	intj	source	ай	
45	1	57	агь2		межд. скорбный вздох; стон	межд. скорбный вздох; стон	hunz1247	Khalilov 2026	Hunzib	intj	source	стон	
46	1	58	агьā		межд. ага, вот как; агьā, бǝлай мǝ лой! ага, вот как ты!	межд. ага, вот как; агьā, бǝлай мǝ лой! ага, вот как ты!	hunz1247	Khalilov 2026	Hunzib	intj	source	ага	
47	1	59	агьáгь		межд. о (выражает сильное чувство)	межд. о (выражает сильное чувство)	hunz1247	Khalilov 2026	Hunzib	intj	source	о	
48	1	60	агьийо	IV (-л, -с)	IV (-л, -с) толокно (крупного помола); см. агьу	толокно (крупного помола); см. агьу	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	толокно	
49	1	61	агьикi/у	IУ (-ал, -ас, -ува)	IУ (-ал, -ас, -ува) дыра, отверстие; агьикIу рува делать отверстие; см. аᵸгьикIу, гьуᵸкI, кIочI	дыра, отверстие; агьикIу рува делать отверстие; см. аᵸгьикIу, гьуᵸкI, кIочI	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	дыра	
50	1	62	агьлу	III (-лло, -лис, -ва)	III (-лло, -лис, -ва) 1) родственники, родня, род; семья; мижус агьлу ваши родственники; ваш род; ваша семья; агьлу чIухIараб оже сын, которым гордится род 2) жители аула, население; алIас агьлу жители села; см. агьлу-тухум	родственники, родня, род; семья; мижус агьлу ваши родственники; ваш род; ваша семья; агьлу чIухIараб оже сын, которым гордится род	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	семья	
50	2	63	агьлу	III (-лло, -лис, -ва)	III (-лло, -лис, -ва) 1) родственники, родня, род; семья; мижус агьлу ваши родственники; ваш род; ваша семья; агьлу чIухIараб оже сын, которым гордится род 2) жители аула, население; алIас агьлу жители села; см. агьлу-тухум	жители аула, население; алIас агьлу жители села; см. агьлу-тухум	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	население	
51	1	64	агьлу-тухум	III (-ло, -лис, -ла)	III (-ло, -лис, -ла) собир. родня, родственники; агьлу-тухумлис халкъ родня, родственники (букв. люди рода-семьи); см. агьлу	собир. родня, родственники; агьлу-тухумлис халкъ родня, родственники (букв. люди рода-семьи); см. агьлу	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	родня	
52	1	65	агьу	IV (-рал, -рас)	IV (-рал, -рас) толокно; агьурас лȧгȧ ком толокна; агьурас кен йакъȧгъур кьухъун бǡхъ еду из толокна хорошо есть с супом; см. аᵸгьийо	толокно; агьурас лȧгȧ ком толокна; агьурас кен йакъȧгъур кьухъун бǡхъ еду из толокна хорошо есть с супом; см. аᵸгьийо	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	толокно	
53	1	66	адаб	III (-лил, -лис)	III (-лил, -лис) 1) вежливость, учтивость; воспитанность; адаб лодеру а) благовоспитанный, вежливый, учтивый, деликатный уважение, почет б) уважительный; адаб гȧйсу а) невоспитанный, невежливый, неучтивый, неделикатный б) нахальный; циничный; неуважительный, грубый 2) уважение, почитание; адаб бува уважать, почитать; уважать, проявить уважение (вежливость); быкъалас адаб бува уважать старших (букв. старших уважение делать) 3) приличие, нравственность, мораль, культура поведения; адаб бугьла переступить границы приличия; не уважать (букв. уважение испортить); см. адаб-хъатир, адаб-хIурмат, хъатир, хIурмат-хъатир	вежливость, учтивость; воспитанность; адаб лодеру а) благовоспитанный, вежливый, учтивый, деликатный уважение, почет б) уважительный; адаб гȧйсу а) невоспитанный, невежливый, неучтивый, неделикатный б) нахальный; циничный; неуважительный, грубый	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	вежливость	
53	2	67	адаб	III (-лил, -лис)	III (-лил, -лис) 1) вежливость, учтивость; воспитанность; адаб лодеру а) благовоспитанный, вежливый, учтивый, деликатный уважение, почет б) уважительный; адаб гȧйсу а) невоспитанный, невежливый, неучтивый, неделикатный б) нахальный; циничный; неуважительный, грубый 2) уважение, почитание; адаб бува уважать, почитать; уважать, проявить уважение (вежливость); быкъалас адаб бува уважать старших (букв. старших уважение делать) 3) приличие, нравственность, мораль, культура поведения; адаб бугьла переступить границы приличия; не уважать (букв. уважение испортить); см. адаб-хъатир, адаб-хIурмат, хъатир, хIурмат-хъатир	уважение, почитание; адаб бува уважать, почитать; уважать, проявить уважение (вежливость); быкъалас адаб бува уважать старших (букв. старших уважение делать)	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	уважение	
53	3	68	адаб	III (-лил, -лис)	III (-лил, -лис) 1) вежливость, учтивость; воспитанность; адаб лодеру а) благовоспитанный, вежливый, учтивый, деликатный уважение, почет б) уважительный; адаб гȧйсу а) невоспитанный, невежливый, неучтивый, неделикатный б) нахальный; циничный; неуважительный, грубый 2) уважение, почитание; адаб бува уважать, почитать; уважать, проявить уважение (вежливость); быкъалас адаб бува уважать старших (букв. старших уважение делать) 3) приличие, нравственность, мораль, культура поведения; адаб бугьла переступить границы приличия; не уважать (букв. уважение испортить); см. адаб-хъатир, адаб-хIурмат, хъатир, хIурмат-хъатир	приличие, нравственность, мораль, культура поведения; адаб бугьла переступить границы приличия; не уважать (букв. уважение испортить); см. адаб-хъатир, адаб-хIурмат, хъатир, хIурмат-хъатир	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	приличие	
54	1	69	адабликь		нареч. уважительно, почтительно; с почестями; адабликь аᵸгшила почтительно разговаривать	нареч. уважительно, почтительно; с почестями; адабликь аᵸгшила почтительно разговаривать	hunz1247	Khalilov 2026	Hunzib	adv	source	уважительно	
55	1	70	адаб-хатир//адаб-хъатир	III (-лил, -лис)	III (-лил, -лис) собир. внимание, почёт; уважение; адаб-хъатир лодеру сукIу уважаемый человек; почтенный человек (букв. уважение-почет имеющий человек); адаб-хъатир бувочос сукIу уважающий людей, воспитанный человек; адаб-хъатир бува уважать, оказать уважение (внимание); см. адаб, адаб- хIурмат	собир. внимание, почёт; уважение; адаб-хъатир лодеру сукIу уважаемый человек; почтенный человек (букв. уважение-почет имеющий человек); адаб-хъатир бувочос сукIу уважающий людей, воспитанный человек; адаб-хъатир бува уважать, оказать уважение (внимание); см. адаб, адаб- хIурмат	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	внимание	
56	1	71	адаб-хiурмат	III (-лил, -лис)	III (-лил, -лис) собир. почёт; уважение; см. адаб, адаб-хатир //адаб-хъатир	собир. почёт; уважение; см. адаб, адаб-хатир //адаб-хъатир	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	уважение	
57	1	72	адвакат	I, II (-лил, -лис, -ла)	I, II (-лил, -лис, -ла) адвокат; адвакатлис махшел профессия адвоката; адвакатлис хIалтIи работа адвоката; адвакат оха нанять адвоката	адвокат; адвакатлис махшел профессия адвоката; адвакатлис хIалтIи работа адвоката; адвакат оха нанять адвоката	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	адвокат	
58	1	73	адвакатлъи	IV (-лло, -лос)	IV (-лло, -лос) адвокатство; профессия (занятие) адвоката; адвакатлъи рува заниматься адвакатурой; адвакатлъилā ǝгьдā работать адвокатом	адвокатство; профессия (занятие) адвоката; адвакатлъи рува заниматься адвакатурой; адвакатлъилā ǝгьдā работать адвокатом	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	адвокатство	
